part_no,product_permalink
BP.14808.5,https://keypak.tbkdev.com/product/poly-foam-perf-30-1-32-x-48-x-2000/
BP.17222.0,https://keypak.tbkdev.com/product/polyfoam-slit-12-perf-12-1-32-x-72-x-2000/
BP.24800.5,https://keypak.tbkdev.com/product/polyfoam-no-slit-perf-1-16-x-48-x-1250/
BP.24812.5,https://keypak.tbkdev.com/product/polyfoam-perf-12-1-16-x-48-x-1250/
BP.24841.5,https://keypak.tbkdev.com/product/polfoam-slit-24-perf-12-1-16-x-48-x-1250/
BP.27202.5,https://keypak.tbkdev.com/product/polyfoam-perf-12-1-16-x-72-x-1250/
BP.27262.5,https://keypak.tbkdev.com/product/polyfoam-slit-36-perf-12-1-16-x-72-x-1250/
BP.34800.9,https://keypak.tbkdev.com/product/polyfoam-no-slit-perf-3-32-x-48-x-750/
BP.34884.9,https://keypak.tbkdev.com/product/polyfoam-slit-12-3-32-x-48-x-750/
BP.44800.5,https://keypak.tbkdev.com/product/polyfoam-no-slit-perf-1-8-x-48-x-550/
BP.44802.5,https://keypak.tbkdev.com/product/polyfoam-perf-12-1-8-x-48-x-550/
BP.44840.5,https://keypak.tbkdev.com/product/polyfoam-slit-24-1-8-x-48-x-550/
BP.44842.5,https://keypak.tbkdev.com/product/polyfoam-slit-24-perf-12-1-8-x-48-x-550/
BP.44860.0,https://keypak.tbkdev.com/product/polyfoam-no-slit-perf-1-8-x-60-x-550/
BP.47260.5,https://keypak.tbkdev.com/product/polyfoam-slit-36-1-8-x-72-x-550/
BP.64802.5,https://keypak.tbkdev.com/product/polyfoam-perf-12-1-4-x-48-x-250/
BP.64807.5,https://keypak.tbkdev.com/product/polyfoam-perf-40-1-4-x-48-x-250/
BP.67260.5,https://keypak.tbkdev.com/product/polyfoam-slit-36-1-4-x-72-x-250/
BP.67270.5,https://keypak.tbkdev.com/product/polyfoam-slit-36-3-32-x-72-x-750/
BW.14802.0,https://keypak.tbkdev.com/product/eco-ez-bubble-silt-16-perf-12-%c2%bd-x-48-x-250/
BW.31202.5,https://keypak.tbkdev.com/product/handi-pak-bubble-perf-12-3-16-x-12-x-175/
